id,AuthorName,date,PERMNO,TICKER,company
950,The Street Sweeper,22-Feb-16,85040,SLP,Simulations Plus Inc.
194,Chimin Sang,12-May-11,93435,SCEI,Sino Clean Energy
186,The GeoTeam,26-Apr-11,93435,SCEI,SINO CLEAN ENERGY INC
189,Alfred Little,28-Apr-11,93435,SCEI,SINO CLEAN ENERGY INC
100,Citron Research,11-Mar-10,88278,SCOK,SINOCOKING COAL & COKE CHEM IND
239,Alfred Little,20-Sep-11,88278,SCOK,SINOCOKING COAL & COKE CHEM IND
625,The Pump Stopper,22-Sep-14,88278,SCOK,SINOCOKING COAL & COKE CHEM IND
228,Alfred Little,16-Aug-11,12396,CTE,SINOTECH ENERGY LTD
1161,GeoInvesting (FG Alpha,21-Dec-16,90517,SVA,"Sinovac Biotech, Ltd."
939,The Street Sweeper,3-Feb-16,14444,SINT,SiNtx Technologies Inc
190,Citron Research,3-May-11,12489,MOBI,SKY MOBI LIMITED
1519,Hindenburg Research,25-Feb-19,15082,SKYS,Sky Solar Holdings Ltd
988,The Street Sweeper,26-Apr-16,38850,SKY,Skyline Champion Corporation
1157,The Street Sweeper,15-Dec-16,38850,SKY,Skyline Corporation
1130,The Street Sweeper,8-Nov-16,15645,SKLN,Skyline Medical Inc
202,Absaroka Capital Manage,1-Jun-11,93069,SPU,SKYPEOPLE FRUIT JUICE INC
1608,Wolfpack Research,25-Sep-19,16710,SGH,SMART Global Holdings Inc
1612,Hindenburg Research,4-Oct-19,18907,SDC,"SmileDirectClub, Inc."
74,Bradley Safalow,14-May-09,89606,SWHC,SMITH & WESSON HOLDING CORP
664,Meson Capital Partners,4-Dec-14,89606,SWHC,SMITH & WESSON HOLDING CORP
1185,J Capital Research Limi,9-Feb-17,60206,SNA,Snap-On Incorporated
426,Copperfield Research,31-Jul-13,12405,SODA,SODASTREAM INTERNATIONAL LTD
551,Kynikos Associates,15-May-14,12405,SODA,SODASTREAM INTERNATIONAL LTD
393,Copperfield Research,17-May-13,13711,SCTY,SOLARCITY CORP
404,CDM Capital,9-Jun-13,13711,SCTY,SOLARCITY CORP
820,Kynikos Associates,21-Aug-15,13711,SCTY,SOLARCITY CORP
1033,Citron Research,21-Jun-16,13711,SCTY,SolarCity Corporation
1037,The Street Sweeper,23-Jun-16,15272,SEDG,SolarEdge Technologies Inc
1386,Spotlight Research (for,16-Apr-18,15272,SEDG,SolarEdge Technologies Inc
1601,Citron Research,12-Sep-19,15272,SEDG,SolarEdge Technologies Inc
639,The Street Sweeper,16-Oct-14,12797,SZYM,SOLAZYME INC
724,Off Wall Street,27-Mar-15,92021,SLH,SOLERA HOLDINGS INC
1548,White Diamond Research,16-May-19,18414,SOLY,Soliton Inc.
1160,Cliffside Research,20-Dec-16,32548,SORL,SORL Auto Parts Inc.
1380,J Capital Research Limi,27-Mar-18,14262,SRNE,"Sorrento Therapeutics, Inc."
1704,Hindenburg Research,20-May-20,14262,SRNE,"Sorrento Therapeutics, Inc."
532,Kynikos Associates,3-Apr-14,75316,BID,SOTHEBYS
372,Glaucus Research,4-Apr-13,12293,SFUN,SOUFUN HOLDINGS LTD
865,The GeoTeam,27-Oct-15,12293,SFUN,SOUFUN HOLDINGS LTD
383,Kerrisdale Capital Mana,29-Apr-13,91899,FIRE,SOURCEFIRE INC
720,Keubiko,26-Mar-15,14791,ANY,Sphere 3D Corp
1760,Grizzly Research LLC,22-Oct-20,15913,SPI,SPI Energy Co Ltd
670,The Street Sweeper,24-Dec-14,14609,SPWH,SPORTSMANS WAREHOUSE HLDGS INC
211,Muddy Waters Research,28-Jun-11,92103,SPRD,SPREADTRUM COMMUNICATIONS INC
1402,Citron Research,30-Apr-18,15826,SQ,Square Inc
1141,Tourbillon Capital Part,28-Nov-16,93312,SSNC,SS&C Technologies Holdings Inc.
130,David Einhorn,13-Oct-10,76123,JOE,ST JOE CO
191,Whitney Tilson,3-May-11,76123,JOE,ST JOE CO
1079,Muddy Waters Research,25-Aug-16,68591,STJ,St Jude Medical Inc.
1395,Kerrisdale Capital Mana,24-Apr-18,76123,JOE,St. Joe Company (The)
1517,Black Stork Research,14-Feb-19,72304,STAA,STAAR Surgical Company
1728,J Capital Research Limi,11-Aug-20,72304,STAA,STAAR Surgical Company
996,Gotham City Research,29-Apr-16,81527,STGW,Stagwell Inc.
993,The Friendly Bear,28-Apr-16,87000,STMP,Stamps.com Inc.
1047,Prescience Point Capita,14-Jul-16,87000,STMP,Stamps.com Inc.
1219,Marc Cohodes,6-Apr-17,87000,STMP,Stamps.com Inc.
1546,Rota Fortunae,9-May-19,87000,STMP,Stampscom Inc
203,Martin Shkreli,5-Jun-11,87816,CIGX,STAR SCIENTIFIC INC
1337,Viceroy Research,6-Dec-17,87289,SNH,Steinhoff International Holdings
576,The Forensic Factor,22-Jun-14,14230,SGM,STONEGATE MORTGAGE CORP
972,Luma Asset Management,23-Mar-16,90366,STON,StoneMor Inc.
431,Richard Pearson,12-Aug-13,90366,STON,STONEMOR PARTNERS L P
650,Richard Pearson,4-Nov-14,14041,STRP,STRAIGHT PATH COMMUNICATIONS IN
868,Kerrisdale Capital Mana,29-Oct-15,14041,STRP,STRAIGHT PATH COMMUNICATIONS IN
880,Sinclair Upton Research,5-Nov-15,14041,STRP,STRAIGHT PATH COMMUNICATIONS IN
681,Long-Short Value,26-Jan-15,14041,STRP,Straight Path Communications Inc
1035,The Street Sweeper,22-Jun-16,14041,STRP,Straight Path Communications Inc
1174,Kerrisdale Capital Mana,19-Jan-17,14041,STRP,Straight Path Communications Inc
1178,White Diamond Research,27-Jan-17,14041,STRP,Straight Path Communications Inc
301,Prescience Investment G,26-Jul-12,13015,STB,STUDENT TRANSPORTATION INC
904,Farringdon Capital Mana,3-Dec-15,13015,STB,Student Transportation Inc
73,Bradley Safalow,14-May-09,73219,RGR,STURM RUGER & CO INC
172,The GeoTeam,24-Mar-11,93311,SBAY,SUBAYE INC
786,Richard Pearson,16-Jun-15,12905,SXC,SUNCOKE ENERGY INC
514,Richard Pearson,3-Mar-14,14311,GOMO,SUNGY MOBILE LTD
607,Trinity Research Group,22-Aug-14,14311,GOMO,Sungy Mobile Ltd
608,TrinityResearch,25-Aug-14,14311,GOMO,SUNGY MOBILE LTD
1750,Spruce Point Capital Ma,29-Sep-20,18815,NOVA,Sunnova Energy International Inc
1599,Noster Capital LLP,11-Sep-19,15643,RUN,Sunrun Inc
452,Alpha Exposure,10-Oct-13,91061,STP,SUNTECH POWER HOLDINGS CO LTD
1442,Red Owl Research,2-Aug-18,91907,SMCI,Super Micro Computer Inc.
646,Jay Yoon,29-Oct-14,92230,SPCB,Supercom Ltd.
1183,The Street Sweeper,7-Feb-17,52396,SUP,Superior Industries Internationa
1122,Cliffside Research,21-Oct-16,63159,STS,Supreme Industries Inc.
1030,The Street Sweeper,15-Jun-16,15795,SGRY,Surgery Partners Inc
192,The Street Sweeper,4-May-11,12585,SWSH,SWISHER HYGIENE INC
